,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,close_above_ema50_cnt,close_below_ema50_cnt,ema50_above_ema200_cnt,ema50_below_ema200_cnt,entry_price,from,symbol,exit_price,to
857,BUY,2023-04-13 14:50:00+05:30,17804.75,17814.5,17804.05,17813.55,0,17787.97,17778.23,17772.21,17745.11,20.78,68.77,17810.95,17744.9,13,0,501,0,17814.5,2023-04-13 14:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,17673.65,2023-04-17 09:15:00+05:30
858,SELL,2023-04-17 10:00:00+05:30,17583.6,17591.15,17574.35,17581.4,0,17690.0,17736.23,17751.98,17739.08,46.5,15.43,17863.0,17581.8,0,10,0,1,17574.35,2023-04-17 10:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,17715.6,2023-04-17 15:05:00+05:30
859,SELL,2023-04-18 13:35:00+05:30,17657.15,17657.15,17639.7,17640.75,0,17679.97,17683.44,17688.71,17698.21,20.77,27.83,17709.85,17656.2,0,5,0,119,17639.7,2023-04-18 13:35:00+05:30,NIFTY 50_ema_adx_rsi_v1,17676.55,2023-04-20 09:20:00+05:30
860,SELL,2023-04-21 13:00:00+05:30,17575.7,17576.4,17563.75,17563.8,0,17589.89,17600.35,17608.74,17623.6,21.74,25.33,17612.9,17574.95,0,39,0,337,17563.75,2023-04-21 13:00:00+05:30,NIFTY 50_ema_adx_rsi_v1,17629.3,2023-04-21 14:25:00+05:30
861,BUY,2023-04-24 12:45:00+05:30,17656.55,17671.2,17656.55,17668.75,0,17641.54,17632.86,17625.54,17625.93,20.44,70.56,17661.8,17612.7,9,0,27,0,17671.2,2023-04-24 12:45:00+05:30,NIFTY 50_ema_adx_rsi_v1,17715.6,2023-04-26 09:45:00+05:30
862,BUY,2023-04-26 11:55:00+05:30,17778.4,17789.8,17777.05,17788.5,0,17771.68,17766.48,17755.64,17727.14,22.09,66.02,17782.4,17751.5,13,0,167,0,17789.8,2023-04-26 11:55:00+05:30,NIFTY 50_ema_adx_rsi_v1,18050.8,2023-05-03 13:50:00+05:30
863,BUY,2023-05-04 10:40:00+05:30,18136.2,18146.05,18135.15,18144.85,0,18120.2,18105.46,18099.04,18069.38,21.35,71.25,18137.8,18071.25,18,0,501,0,18146.05,2023-05-04 10:40:00+05:30,NIFTY 50_ema_adx_rsi_v1,18129.65,2023-05-05 11:15:00+05:30
864,BUY,2023-05-08 09:45:00+05:30,18192.25,18209.9,18191.65,18208.0,0,18143.0,18138.83,18144.69,18133.68,34.84,71.35,18196.25,18055.7,7,0,3,0,18209.9,2023-05-08 09:45:00+05:30,NIFTY 50_ema_adx_rsi_v1,18240.7,2023-05-09 14:00:00+05:30
865,BUY,2023-05-10 12:50:00+05:30,18287.1,18291.75,18284.75,18291.6,0,18275.91,18270.76,18271.11,18254.63,21.15,64.23,18290.25,18239.35,18,0,190,0,18291.75,2023-05-10 12:50:00+05:30,NIFTY 50_ema_adx_rsi_v1,18254.35,2023-05-10 13:25:00+05:30
866,BUY,2023-05-12 13:35:00+05:30,18301.6,18315.85,18301.0,18314.5,0,18297.28,18288.97,18289.38,18285.35,30.41,64.5,18313.25,18275.8,18,0,7,0,18315.85,2023-05-12 13:35:00+05:30,NIFTY 50_ema_adx_rsi_v1,18359.55,2023-05-16 11:20:00+05:30
