,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
916,BUY,2023-04-13 14:50:00+05:30,17804.75,17814.5,17804.05,17813.55,0,17787.97,17778.23,17772.21,17745.11,20.78,68.77,17810.95,17744.9,17814.5,2023-04-13 14:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,17673.65,2023-04-17 09:15:00+05:30
917,SELL,2023-04-17 10:00:00+05:30,17583.6,17591.15,17574.35,17581.4,0,17690.0,17736.23,17751.98,17739.08,46.5,15.43,17863.0,17581.8,17574.35,2023-04-17 10:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,17715.6,2023-04-17 15:05:00+05:30
918,SELL,2023-04-18 10:15:00+05:30,17670.25,17670.95,17652.55,17660.0,0,17692.36,17691.18,17697.56,17706.48,21.98,36.04,17766.6,17663.2,17652.55,2023-04-18 10:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,17705.95,2023-04-18 12:55:00+05:30
919,SELL,2023-04-18 13:35:00+05:30,17657.15,17657.15,17639.7,17640.75,0,17679.97,17683.44,17688.71,17698.21,20.77,27.83,17709.85,17656.2,17639.7,2023-04-18 13:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,17676.55,2023-04-20 09:20:00+05:30
920,SELL,2023-04-20 10:30:00+05:30,17608.75,17610.9,17596.0,17596.45,0,17633.49,17633.07,17639.07,17654.95,22.39,35.88,17683.75,17606.45,17596.0,2023-04-20 10:30:00+05:30,NIFTY 50_ema_adx_rsi_v2,17645.0,2023-04-21 09:15:00+05:30
921,SELL,2023-04-21 13:00:00+05:30,17575.7,17576.4,17563.75,17563.8,0,17589.89,17600.35,17608.74,17623.6,21.74,25.33,17612.9,17574.95,17563.75,2023-04-21 13:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,17629.3,2023-04-21 14:25:00+05:30
922,BUY,2023-04-24 12:45:00+05:30,17656.55,17671.2,17656.55,17668.75,0,17641.54,17632.86,17625.54,17625.93,20.44,70.56,17661.8,17612.7,17671.2,2023-04-24 12:45:00+05:30,NIFTY 50_ema_adx_rsi_v2,17715.6,2023-04-26 09:45:00+05:30
923,BUY,2023-04-26 11:55:00+05:30,17778.4,17789.8,17777.05,17788.5,0,17771.68,17766.48,17755.64,17727.14,22.09,66.02,17782.4,17751.5,17789.8,2023-04-26 11:55:00+05:30,NIFTY 50_ema_adx_rsi_v2,18050.8,2023-05-03 13:50:00+05:30
924,BUY,2023-05-04 10:40:00+05:30,18136.2,18146.05,18135.15,18144.85,0,18120.2,18105.46,18099.04,18069.38,21.35,71.25,18137.8,18071.25,18146.05,2023-05-04 10:40:00+05:30,NIFTY 50_ema_adx_rsi_v2,18129.65,2023-05-05 11:15:00+05:30
925,BUY,2023-05-08 09:45:00+05:30,18192.25,18209.9,18191.65,18208.0,0,18143.0,18138.83,18144.69,18133.68,34.84,71.35,18196.25,18055.7,18209.9,2023-05-08 09:45:00+05:30,NIFTY 50_ema_adx_rsi_v2,18240.7,2023-05-09 14:00:00+05:30
926,BUY,2023-05-10 09:15:00+05:30,18313.6,18321.5,18292.7,18313.35,0,18272.19,18282.67,18279.3,18249.78,31.79,65.78,18281.9,18230.45,18321.5,2023-05-10 09:15:00+05:30,NIFTY 50_ema_adx_rsi_v2,18238.75,2023-05-10 09:40:00+05:30
927,BUY,2023-05-10 12:50:00+05:30,18287.1,18291.75,18284.75,18291.6,0,18275.91,18270.76,18271.11,18254.63,21.15,64.23,18290.25,18239.35,18291.75,2023-05-10 12:50:00+05:30,NIFTY 50_ema_adx_rsi_v2,18254.35,2023-05-10 13:25:00+05:30
928,BUY,2023-05-12 13:35:00+05:30,18301.6,18315.85,18301.0,18314.5,0,18297.28,18288.97,18289.38,18285.35,30.41,64.5,18313.25,18275.8,18315.85,2023-05-12 13:35:00+05:30,NIFTY 50_ema_adx_rsi_v2,18359.55,2023-05-16 11:20:00+05:30
929,SELL,2023-05-16 15:00:00+05:30,18320.35,18321.05,18303.4,18304.15,0,18341.31,18357.11,18367.29,18359.73,28.27,21.99,18377.45,18311.85,18303.4,2023-05-16 15:00:00+05:30,NIFTY 50_ema_adx_rsi_v2,18268.6,2023-05-18 09:15:00+05:30
930,SELL,2023-05-18 12:20:00+05:30,18214.75,18217.1,18200.05,18202.85,0,18232.65,18223.78,18227.76,18255.67,24.3,36.9,18258.75,18209.25,18200.05,2023-05-18 12:20:00+05:30,NIFTY 50_ema_adx_rsi_v2,18182.55,2023-05-19 14:40:00+05:30
