,signal,date,open,high,low,close,volume,ema20,ema50,ema100,ema200,adx,rsi,max_high,min_low,entry_price,from,symbol,exit_price,to
86,BUY,2024-07-09 16:20:00+05:30,96148,96249,96148,96243,285,96088.95,96021.22,95955.78,95886.09,38.38,70.17,96156,96030,96249,2024-07-09 16:20:00+05:30,SILVERMIC 50_v2_v2,95864,2024-07-09 17:10:00+05:30
87,SELL,2024-07-09 20:45:00+05:30,95363,95385,95194,95249,689,95696.81,95840.74,95893.42,95884.25,32.69,29.62,96244,95351,95194,2024-07-09 20:45:00+05:30,SILVERMIC 50_v2_v2,95838,2024-07-10 09:00:00+05:30
88,BUY,2024-07-10 15:05:00+05:30,95920,95980,95920,95980,118,95865.19,95798.15,95761.67,95770.0,25.32,63.1,95950,95761,95980,2024-07-10 15:05:00+05:30,SILVERMIC 50_v2_v2,95804,2024-07-10 20:05:00+05:30
89,SELL,2024-07-10 23:00:00+05:30,95541,95550,95451,95505,418,95759.08,95842.37,95865.54,95851.65,29.16,22.71,95950,95508,95451,2024-07-10 23:00:00+05:30,SILVERMIC 50_v2_v2,96020,2024-07-11 09:00:00+05:30
90,BUY,2024-07-11 18:00:00+05:30,95881,96489,95825,96408,2129,95977.11,95971.79,95966.96,95940.28,27.62,75.07,96007,95800,96489,2024-07-11 18:00:00+05:30,SILVERMIC 50_v2_v2,96346,2024-07-12 10:35:00+05:30
91,SELL,2024-07-12 12:00:00+05:30,95865,95865,95670,95731,679,96053.2,96272.1,96359.99,96297.48,55.13,27.98,96414,95822,95670,2024-07-12 12:00:00+05:30,SILVERMIC 50_v2_v2,95810,2024-07-12 21:55:00+05:30
92,SELL,2024-07-15 11:15:00+05:30,95445,95470,95354,95379,175,95589.0,95627.67,95646.21,95737.78,21.15,28.42,95817,95408,95354,2024-07-15 11:15:00+05:30,SILVERMIC 50_v2_v2,95574,2024-07-15 16:35:00+05:30
93,SELL,2024-07-15 17:55:00+05:30,95408,95408,95300,95351,112,95471.36,95434.45,95439.58,95531.77,22.77,37.9,95589,95367,95300,2024-07-15 17:55:00+05:30,SILVERMIC 50_v2_v2,95560,2024-07-15 19:25:00+05:30
94,BUY,2024-07-16 20:35:00+05:30,96302,96440,96231,96353,1252,95775.99,95650.85,95597.42,95566.31,21.71,75.0,96321,95350,96440,2024-07-16 20:35:00+05:30,SILVERMIC 50_v2_v2,95825,2024-07-17 18:15:00+05:30
95,SELL,2024-07-17 20:30:00+05:30,94901,94973,94751,94850,1065,95386.55,95702.81,95805.98,95770.14,39.82,26.46,96125,94851,94751,2024-07-17 20:30:00+05:30,SILVERMIC 50_v2_v2,95260,2024-07-18 15:15:00+05:30
96,SELL,2024-07-18 18:40:00+05:30,94940,94951,94825,94850,329,94998.9,95039.36,95075.15,95182.01,22.73,38.43,95150,94903,94825,2024-07-18 18:40:00+05:30,SILVERMIC 50_v2_v2,88125,2024-07-24 19:05:00+05:30
97,SELL,2024-07-24 22:45:00+05:30,87631,87631,87503,87555,377,87719.82,87787.09,87791.73,87939.19,28.72,29.19,88039,87601,87503,2024-07-24 22:45:00+05:30,SILVERMIC 50_v2_v2,83799,2024-07-26 21:50:00+05:30
98,BUY,2024-07-29 11:30:00+05:30,84355,84595,84346,84590,397,84323.16,84145.54,83966.63,83932.39,32.39,74.09,84431,84201,84595,2024-07-29 11:30:00+05:30,SILVERMIC 50_v2_v2,84150,2024-07-29 19:00:00+05:30
99,SELL,2024-07-29 20:40:00+05:30,83406,83442,83115,83117,1253,83713.6,84002.44,84116.69,84110.57,55.88,17.22,84328,83311,83115,2024-07-29 20:40:00+05:30,SILVERMIC 50_v2_v2,83909,2024-07-30 09:50:00+05:30
100,SELL,2024-07-30 15:20:00+05:30,83748,83748,83604,83653,210,83810.18,83842.64,83837.05,83872.84,31.36,25.75,84009,83720,83604,2024-07-30 15:20:00+05:30,SILVERMIC 50_v2_v2,83870,2024-07-30 16:20:00+05:30
101,BUY,2024-07-30 22:30:00+05:30,84450,84850,84442,84705,1467,84240.92,84104.38,84004.51,83945.97,26.55,75.19,84533,83934,84850,2024-07-30 22:30:00+05:30,SILVERMIC 50_v2_v2,85920,2024-08-01 19:50:00+05:30
102,SELL,2024-08-01 22:25:00+05:30,85218,85218,85050,85119,526,85369.56,85674.18,85898.57,85923.8,34.58,30.21,85698,85170,85050,2024-08-01 22:25:00+05:30,SILVERMIC 50_v2_v2,85935,2024-08-02 09:05:00+05:30
103,BUY,2024-08-02 18:20:00+05:30,86650,86950,86600,86825,1629,86379.09,86287.03,86200.31,86098.92,21.78,69.14,86766,86050,86950,2024-08-02 18:20:00+05:30,SILVERMIC 50_v2_v2,86041,2024-08-02 18:30:00+05:30
104,SELL,2024-08-02 20:10:00+05:30,85063,85192,84676,84732,1946,85850.29,86068.22,86112.5,86074.06,31.69,22.57,86750,84879,84676,2024-08-02 20:10:00+05:30,SILVERMIC 50_v2_v2,85639,2024-08-05 09:30:00+05:30
105,SELL,2024-08-05 10:50:00+05:30,85225,85249,85046,85068,270,85403.37,85325.65,85429.5,85618.66,30.18,34.32,85710,85160,85046,2024-08-05 10:50:00+05:30,SILVERMIC 50_v2_v2,82301,2024-08-06 19:35:00+05:30
106,SELL,2024-08-07 11:15:00+05:30,81900,81909,81810,81821,299,82079.92,82044.92,81970.62,82065.89,23.16,33.6,82327,81871,81810,2024-08-07 11:15:00+05:30,SILVERMIC 50_v2_v2,82060,2024-08-07 11:55:00+05:30
107,SELL,2024-08-07 12:30:00+05:30,81847,81847,81706,81706,190,81942.67,81984.5,81955.6,82044.64,21.37,32.31,82230,81707,81706,2024-08-07 12:30:00+05:30,SILVERMIC 50_v2_v2,81948,2024-08-07 16:00:00+05:30
108,SELL,2024-08-07 18:05:00+05:30,81896,81899,81761,81790,462,81979.08,81916.66,81883.35,81937.42,25.28,38.32,82180,81870,81761,2024-08-07 18:05:00+05:30,SILVERMIC 50_v2_v2,82018,2024-08-07 18:15:00+05:30
109,SELL,2024-08-07 22:35:00+05:30,81712,81774,81600,81603,188,81771.48,81817.75,81841.67,81891.96,20.53,33.68,81934,81626,81600,2024-08-07 22:35:00+05:30,SILVERMIC 50_v2_v2,81784,2024-08-08 16:10:00+05:30
110,BUY,2024-08-08 17:40:00+05:30,82001,82092,81984,82075,260,81856.08,81728.81,81678.05,81710.04,30.98,73.51,82051,81616,82092,2024-08-08 17:40:00+05:30,SILVERMIC 50_v2_v2,82848,2024-08-09 19:05:00+05:30
